bcl::storage::Table<double>   subunits nr_coordinates   rgyr_sqr 
1U0S                                 2            204    304.438 
1U14                                 1            169    244.998 
1U2H                                 2            192    436.717 
1U55                                 1            188    300.201 
1U5D                                 1            108     182.75 
1U5H                                 3            669     734.56 
1U5K                                 2            474    627.001 
1U5P                                 1            211    932.239 
1U5U                                 1            366    403.031 
1U5X                                 3            390    387.701 
1U60                                 2            618    574.665 
1U6Z                                 2            998    1105.49 
1U7I                                 2            267     341.31 
1U7K                                 6            786    875.929 
1U7L                                 1            364    1226.61 
1U7P                                 1            164    241.969 
1U84                                 1             81    139.914 
1U8V                                 4           1960    1332.31 
1U9L                                 1             68    124.632 
1UAL                                 2            486    579.778 
1UAS                                 1            362    431.152 
1UC8                                 2            505    581.438 
1UCD                                 1            190    263.301 
1UCR                                 2            149    256.502 
1UCS                                 1             64     111.62 
1UD9                                 1            242    361.296 
1UEB                                 1            184    482.423 
1UEK                                 1            268    353.382 
1UFI                                 2             94    158.572 
1UFO                                 2            476    578.261 
1UFY                                 3            363    360.938 
1UG6                                 1            426    408.131 
1UGI                                 1             83     150.77 
1UGX                                 8            592     706.42 
1UI0                                 1            192     248.08 
1UII                                 2            122     699.08 
1UIX                                 2            137    880.635 
1UJ2                                 4            852    896.789 
1UJ8                                 1             73    129.209 
1UJP                                 1            240    277.819 
1UK8                                 2            542    662.601 
1UKF                                 1            188    235.683 
1UKK                                 2            282    360.138 
1UMG                                 8           2872    1510.41 
1UNN                                 4            955    1401.31 
1UNQ                                 1            117    204.022 
1UOY                                 1             64    110.041 
1UPK                                 2            322    646.137 
1UPQ                                 1            107    178.135 
1UPT                                 4            442    823.306 
1UQT                                 2            902    1257.15 
1URS                                 1            366    417.749 
1US0                                 1            313    353.217 
1US5                                 1            297    349.146 
1USC                                 2            356    369.923 
1USE                                 4            160    348.217 
1USG                                 2            690    684.667 
1USM                                 2            154    251.783 
1USR                                 2            893    891.141 
1UT7                                 2            297    586.561 
1UTE                                 1            302    312.152 
1UTG                                 2            140    200.072 
1UUJ                                 2            150    303.789 
1UUQ                                 1            410    388.235 
1UUY                                 3            483    511.723 
1UUZ                                 2            258    340.333 
1UV7                                 2            150    251.516 
1UVJ                                 1            664    614.115 
1UW4                                 4            678     467.14 
1UWC                                 1            261    284.068 
1UWF                                 1            158     270.63 
1UWK                                 2           1107    875.457 
1UX6                                 1            335    448.999 
1UXO                                 1            186    224.918 
1UYL                                 1            207    274.434 
1UZ3                                 2            199    411.966 
1UZE                                 1            574    560.754 
1UZX                                 2            213    337.536 
1V05                                 2            192    246.641 
1V0A                                 1            170    254.484 
1V0W                                 1            496    469.964 
1V2B                                 1            148    213.491 
1V2X                                 1            191    286.877 
1V2Z                                 2            212    341.652 
1V30                                 1            118    189.977 
1V33                                 1            346    474.847 
1V4A                                 1            429    530.983 
1V4P                                 1            151    224.396 
1V5I                                 2            351    395.414 
1V5V                                 2            793    860.709 
1V6P                                 2            124    228.982 
1V6T                                 4            996    913.604 
1V74                                 2            194    271.451 
1V77                                 1            202    249.044 
1V7W                                 2           1558    1318.45 
1V84                                 2            488    575.288 
1V8H                                 2            212    347.939 
1V96                                 2            290    428.778 
1V9F                                 1            250    368.609 
1V9M                                 1            312    372.847 
1V9Y                                 2            206    329.596 
1VAJ                                 1            203    298.797 
1VBK                                 2            603     1132.1 
1VBW                                 1             68    131.435 
1VCA                                 1            199    577.304 
1VCC                                 1             77    148.359 
1VD6                                 2            436    560.316 
1VDK                                 4           1830    1276.48 
1VDW                                 2            496    524.446 
1VE1                                 2            604    565.498 
1VE2                                 2            442    439.943 
1VE4                                 1            201    353.403 
1VEF                                 2            774    627.551 
1VFY                                 1             67    151.465 
1VGJ                                 1            184    296.273 
1VGY                                 2            750    1463.68 
1VH4                                 2            824    878.932 
1VH5                                 2            276    333.172 
1VHN                                 1            305    388.473 
1VHT                                 1            208    362.431 
1VHU                                 1            192    230.776 
1VHW                                 6           1418    1113.43 
1VI0                                 2            377    466.319 
1VI4                                 1            162    215.919 
1VI6                                 2            386    426.538 
1VI9                                 2            576    580.012 
1VJF                                 1            167    233.317 
1VJL                                 2            280    420.135 
1VJN                                 1            194    238.915 
1VJU                                 1            291    364.389 
1VJV                                 1            367    473.661 
1VK1                                 1            232    341.599 
1VKE                                 6            635    586.997 
1VKF                                 1            172    242.555 
1VKH                                 2            513    611.124 
1VKK                                 1            137    215.212 
1VKM                                 3            876    755.478 
1VKN                                 4           1351    1002.76 
1VKY                                 2            563    848.584 
1VL1                                 1            218    261.205 
1VL7                                 2            270    349.835 
1VLP                                 1            418    448.425 
1VLS                                 2            292     423.12 
1VLY                                 1            323    389.755 
1VMB                                 1            107    218.178 
1VME                                 2            802    936.248 
1VMG                                 2            166    216.122 
1VMH                                 3            387    369.788 
1VP8                                 6           1140    1007.95 
1VPB                                 2            874    851.626 
1VPR                                 1            351    386.595 
1VPS                                 5           1429    1105.86 
1VPT                                 2            582    851.628 
1VQS                                 8            884    752.339 
1VQT                                 2            382    445.995 
1VR7                                 2            238    277.074 
1VRM                                 1            309    373.792 
1VSR                                 1            134    227.889 
1VYB                                 1            236    281.679 
1VYI                                 1            111    211.169 
1VYK                                 1            129    227.682 
1VYR                                 1            363    369.573 
1VZI                                 2            250    325.505 
1VZM                                 1             43    95.2924 
1VZY                                 4           1152    1015.16 
1W07                                 2           1313    981.886 
1W0H                                 1            200    272.987 
1W0N                                 1            120    180.599 
1W1H                                 1            147    236.841 
1W23                                 2            717    705.518 
1W2F                                 1            276    333.555 
1W2W                                 4            803    861.854 
1W2Y                                 2            435     522.93 
1W3I                                 4           1172    954.031 
1W4S                                 1            146    252.992 
1W4X                                 1            533    564.489 
1W53                                 2            168    232.851 
1W5Q                                 8           2552    1485.27 
1W5R                                 2            546    857.639 
1W66                                 1            218    266.511 
1W6G                                 2           1238    1027.93 
1W6S                                 4           1335    1197.68 
1W78                                 1            414    446.059 
1W7C                                 2           1470     1161.8 
1W8K                                 1            362     557.56 
1W8S                                 5           1252    1118.85 
1W94                                 1            155    225.789 
1W96                                 1            549    566.137 
1W99                                 3           1674    1815.07 
1WA5                                 3           1570    1551.97 
1WAA                                 6            552    603.705 
1WB4                                 1            283    303.238 
1WBA                                 1            171     233.52 
1WBE                                 1            204    310.601 
1WBH                                 3            640    675.499 
1WC1                                 2            392    441.554 
1WC2                                 1            180    233.101 
1WCW                                 1            254    392.612 
1WD3                                 1            482    529.852 
1WDD                                16           4684    2121.97 
1WDJ                                 3            524    630.605 
1WDP                                 1            493    485.611 
1WEH                                 1            171    227.166 
1WER                                 1            324    546.359 
1WHI                                 2            244    504.617 
1WHS                                 4            816    898.178 
1WHZ                                 1             70    131.201 
1WIW                                 2            565    562.526 
1WJ9                                 1            188    280.417 
1WL8                                 1            187    222.241 
1WLE                                 2            934    1152.88 
1WLG                                 2            586    1716.03 
1WLJ                                 1            168    259.203 
1WLU                                 4            468    437.654 
1WLZ                                 1             85    150.084 
1WMH                                 2            165    282.113 
1WMX                                 2            368    599.551 
1WN2                                 2            236    277.644 
1WNA                                 1            127    176.565 
1WNY                                 1            180     245.43 
1WO8                                 6            740    689.055 
1WOJ                                 1            209    293.462 
1WOL                                 1            122    201.989 
1WOU                                 1            119    188.119 
1WPB                                24           4032    2524.48 
1WPN                                 2            374    471.545 
1WPO                                 2            419    571.062 
1WPU                                 6            882    728.658 
1WQ6                                 4            236     749.46 
1WQJ                                 2            142     293.95 
1WRA                                 1            305    332.876 
1WRD                                 2            174    321.606 
1WS8                                 4            413    523.161 
1WT6                                 3            195    814.033 
1WTE                                 2            544    595.897 
1WTJ                                 2            669     634.88 
1WUB                                 1            176    316.395 
1WUI                                 2            801     606.78 
1WUR                                10           1848    1239.33 
1WV3                                 1            186    305.817 
1WVF                                 2           1030    841.434 
1WVG                                 4           1404    1225.44 
1WVH                                 1            132    190.113 
1WVQ                                 6            970    727.827 
1WWI                                 1            148    235.984 
1WWJ                                 4            386    491.088 
1WWR                                 2            311    391.235 
1WWZ                                 2            314    458.223 
1WXC                                 2            345    384.791 
1WY2                                 2            698    665.413 
1WZ3                                 2            168    316.989 
1WZD                                 2            416     720.93 
1WZU                                 1            271    376.466 
1X0T                                 1            106    266.684 
1X1N                                 1            523    597.933 
1X2I                                 2            136    201.135 
1X38                                 1            602    614.958 
1X54                                 2            868     859.54 
1X6I                                 2            176    298.109 
1X6O                                 1            143    343.012 
1X6Z                                 1            119    216.987 
1X7D                                 2            679    744.681 
1X8B                                 1            259    350.479 
1X8Q                                 1            184    237.476 
1X91                                 1            149    255.551 
1X9D                                 1            451    435.199 
1X9I                                 2            601    533.052 
1XAK                                 1             68    148.608 
1XAU                                 1            104    191.649 
1XAW                                 1            107    458.063 
1XBI                                 1            118    161.099 
1XCL                                 1            229    270.612 
1XCR                                 1            313    328.369 
1XD3                                 2            304    381.214 
1XDN                                 1            265    364.278 
1XE7                                 2            374    474.851 
1XEW                                 2            307    411.849 
1XFF                                 2            477    659.618 
1XFK                                 1            324    348.674 
1XFS                                 2            308    482.182 
1XG0                                 4            491    545.468 
1XGK                                 1            325    394.278 
1XHN                                 2            343    362.933 
1XIW                                 4            386    613.239 
1XIZ                                 1            155    207.224 
1XJJ                                 2           1234    1355.16 
1XJU                                 1            156      248.5 
1XJV                                 1            291    440.478 
1XKI                                 1            128    212.082 
1XKP                                 3            477    801.545 
1XKR                                 1            205    277.795 
1XLQ                                 1            106     153.66 
1XLY                                 2            408    484.804 
1XMK                                 1             79     149.91 
1XMT                                 1             95    158.366 
1XO0                                 4           1288       1311 
1XOD                                 1            105    174.179 
1XOV                                 1            315    713.294 
1XPP                                 4            397    753.468 
1XQA                                 2            223    354.503 
1XQO                                 1            253     318.11 
1XS0                                 2            256    338.718 
1XS5                                 1            240    340.196 
1XSV                                 2            212    482.474 
1XSZ                                 1            356     500.98 
1XTT                                 4            846    750.576 
1XU1                                 6            524    511.083 
1XUB                                 2            556     621.49 
1XV2                                 2            464     553.88 
1XV5                                 1            401    474.905 
1XVH                                 2            238    518.746 
1XW3                                 1            110    273.858 
1XWV                                 1            129    216.779 
1XWW                                 1            157    212.759 
1XX1                                 2            570    619.598 
1XYI                                 1             66    131.598 
1XZZ                                 1            216    316.743 
1Y08                                 1            286    345.359 
1Y0K                                 1            180     258.13 
1Y0N                                 1             71     149.43 
1Y0U                                 2            177    595.643 
1Y12                                 6            963    1151.18 
1Y43                                 2            203    252.091 
1Y4M                                 3            159    290.538 
1Y4W                                 1            517    528.102 
1Y5H                                 2            245    401.015 
1Y60                                 5            841      672.1 
1Y66                                 4            186    493.126 
1Y6X                                 2            174    330.879 
1Y6Z                                 2            488     616.14 
1Y71                                 2            221    425.991 
1Y7P                                 2            418     444.95 
1Y7T                                 2            654    673.302 
1Y8A                                 1            313    369.205 
1Y93                                 1            158    211.179 
1Y96                                 2            171    272.203 
1Y9L                                 1            110    183.403 
1Y9Q                                 2            356    450.457 
1YAR                                 6           1308    12807.8 
1YB3                                 1            166    256.965 
1YBK                                 4            205    553.201 
1YC5                                 2            243    352.231 
1YD0                                 1             89    150.799 
1YD9                                 1            188    231.945 
1YDG                                 4            807    616.126 
1YDI                                 2            280    702.685 
1YDY                                 2            656    742.964 
1YE8                                 1            172    229.607 
1YFQ                                 1            342    377.884 
1YG9                                 1            329    403.389 
1YGA                                 2            672    706.594 
1YGT                                 2            208    300.111 
1YHT                                 1            344    375.417 
1YI9                                 1            295    401.225 
1YJ7                                 4            619    773.543 
1YKI                                 2            433    439.286 
1YKU                                 2            264    345.696 
1YLI                                 6            864    756.657 
1YLK                                 2            326    336.682 
1YLL                                 4            768    939.478 
1YLM                                 2            286    444.975 
1YLX                                 2            200    270.742 
1YM3                                 2            386    386.353 
1YMT                                 2            245    327.526 
1YN3                                 1             98    172.623 
1YNF                                 2            858     857.69 
1YNP                                 1            283    352.082 
1YO3                                 2            170    234.077 
1YOC                                 2            292      354.1 
1YOZ                                 2            229    325.197 
1YPY                                 1            182    266.522 
1YQ5                                 3            432    397.552 
1YQE                                 1            282    322.833 
1YQG                                 2            526    740.808 
1YQH                                 4            410    394.074 
1YQS                                 1            345    362.539 
1YRK                                 2            138     262.77 
1YRR                                 4           1430    1059.42 
1YSR                                 3            410    582.757 
1YT3                                 1            375    589.964 
1YT8                                 1            525    580.784 
1YTL                                 1            158    205.325 
1YTV                                 4            743    1138.57 
1YU0                                 3           1128    894.142 
1YU5                                 1             67     138.45 
1YUM                                 4            848     878.92 
1YW4                                 2            628    1016.01 
1YWF                                 1            241    285.889 
1YX1                                 3            751        864 
1YZ1                                 1            146    224.891 
1YZV                                 4            780    738.956 
1YZX                                 2            436    556.898 
1Z0J                                 2            220    298.054 
1Z0M                                 1             87    154.207 
1Z0P                                 2            146    277.984 
1Z0W                                 6           1218    1218.24 
1Z1Y                                 2            352    721.509 
1Z21                                 1             96    183.559 
1Z2N                                 1            311    434.544 
1Z2U                                 1            150    256.799 
1Z2W                                 1            182    254.388 
1Z3E                                 2            186    326.533 
1Z3X                                 1            236    373.495 
1Z5Z                                 1            230    333.989 
1Z67                                 1            127    236.851 
1Z6M                                 1            175    240.097 
1Z6O                                 6           1146    2260.03 
1Z70                                 1            276    307.785 
1Z72                                 2            431    543.329 
1Z96                                 1             38    70.8443 
1Z9L                                 1            126    266.944 
1ZA0                                 1            242    388.121 
1ZAR                                 1            267    453.908 
1ZAV                                 7            353    889.773 
1ZB1                                 1            367    671.231 
1ZC3                                 2            282    395.283 
1ZCE                                 1            146    208.145 
1ZD0                                 1            141    243.194 
1ZD7                                 1            159    219.567 
1ZD8                                 1            212    370.939 
1ZDY                                 1            301    339.742 
1ZEL                                 1            293    528.973 
1ZGK                                 1            288     296.63 
1ZHS                                 2            226    276.984 
1ZHV                                 1            134     246.03 
1ZHX                                 1            436    491.245 
1ZI8                                 1            233    268.395 
1ZJA                                 1            557    560.388 
1ZJC                                 2            826    996.346 
1ZK4                                 4           1004    763.379 
1ZK5                                 1            172    299.266 
1ZKE                                 2            162    392.102 
1ZL0                                 1            306    338.896 
1ZLD                                 1            103    192.465 
1ZMA                                 1            118    179.066 
1ZMT                                 4           1008    780.254 
1ZN6                                 1            211    283.181 
1ZPS                                 2            252    295.856 
1ZS4                                 4            316    512.967 
1ZS9                                 1            253    417.217 
1ZSQ                                 1            513    596.286 
1ZT3                                 1             80    183.954 
1ZTD                                 2            250    343.095 
1ZUU                                 1             56     100.25 
1ZV1                                 2            118    199.658 
1ZVA                                 2            150    308.933 
1ZVT                                 1            245    362.168 
1ZX8                                 1            127    178.027 
1ZXX                                 4           1276    908.896 
1ZY7                                 1            378    385.156 
1ZZ1                                 1            367    358.215 
1ZZK                                 1             80    149.785 
256B                                 2            212    409.422 
2A14                                 1            257    284.037 
2A1H                                 2            726    751.284 
2A1I                                 1            129    239.347 
2A1K                                 1            215    404.788 
2A26                                 2             94    222.913 
2A2K                                 1            171     248.36 
2A2M                                 6           1386    1619.36 
2A35                                 2            416    519.179 
2A3N                                 2            672    589.878 
2A40                                 3            643    926.952 
2A4X                                 2            259    326.936 
2A6S                                 1             83    143.283 
2A6Z                                 1            222    266.202 
2A72                                 2            265    641.745 
2A7B                                 1            120    208.943 
2A8Y                                 6           1578    1073.48 
2A9D                                 2            728    696.848 
2A9I                                 1            105    173.338 
2A9S                                 2            332    331.502 
2ABK                                 1            211    355.143 
2ABS                                 1            340    378.049 
2AEB                                 3            942     901.64 
2AEU                                 2            732     809.85 
2AFW                                 1            323    352.278 
2AG4                                 1            164    278.687 
2AHF                                 1            377    366.524 
2AIB                                 2            196    327.555 
2AJ6                                 1            120    205.427 
2AJ7                                 2            305    462.596 
2AKA                                 3           1069    1818.14 
2AKZ                                 2            867    670.748 
2ALI                                 1            130     244.28 
2AMH                                 1            195    298.079 
2AML                                 2            727    607.502 
2ANX                                 2            292    452.868 
2AO9                                18           1998    1465.39 
2AP3                                 1            192    603.899 
2APJ                                 1            243    283.415 
2APO                                 2            359    545.448 
2AQ6                                 2            286    419.993 
2ARC                                 2            325    545.336 
2ASB                                 1            226    432.871 
2ASK                                 2            202    427.421 
2ATZ                                 1            176    267.488 
2AU7                                 6           1050    810.348 
2AUW                                 2            306    758.517 
2AVD                                 2            438    469.565 
2AVT                                 2            743    1050.73 
2AXC                                 1            232     312.18 
2AXI                                 2            100    175.266 
2AXO                                 2            444    660.006 
2AXW                                 2            268    739.183 
2AYD                                 1             76    166.961 
2AZ4                                 1            425      497.8 
2B06                                 2            300    397.211 
2B0A                                 2            372    436.891 
2B0T                                 1            735    763.635 
2B0V                                 1            148    220.313 
2B1E                                 1            532    1871.39 
2B1Y                                 2            202    509.252 
2B3G                                 6            423    538.459 
2B4H                                 2            445    618.092 
2B4V                                 1            437    624.449 
2B4W                                 1            292    312.659 
2B5A                                 2            152    231.542 
2B5G                                 2            323      429.5 
2B5W                                 2            714    831.967 
2B82                                 4            844    918.473 
2B8I                                 1             77    132.888 
2B8M                                 2            218    293.282 
2B97                                 1             70    113.313 
2B9D                                 2            104    175.789 
2BA2                                 3            242    1210.44 
2BAY                                 2            112    196.907 
2BB6                                 1            414     479.02 
2BBA                                 2            199    292.512 
2BBE                                 4            412    469.631 
2BBR                                 1            187    295.215 
2BCM                                 3            413    593.531 
2BDR                                 2            332    440.833 
2BEK                                 2            487    455.359 
2BEM                                 1            170    216.255 
2BF6                                 1            448    475.602 
2BFD                                 4           1412    992.248 
2BG5                                 2            645    697.688 
2BHU                                 1            580    621.531 
2BI0                                 3            990     807.53 
2BJF                                 4           1312    1163.62 
2BJI                                 2            548    539.243 
2BJK                                 6           3096     1825.3 
2BJN                                 2            290    407.958 
2BJQ                                 1            340    453.814 
2BJV                                 1            236    451.621 
2BKF                                 1             86    149.362 
2BKM                                 1            128     214.49 
2BKX                                 1            242    282.145 
2BKY                                 4            350    441.921 
2BL0                                 3            350    768.357 
2BL8                                 1             93    175.586 
2BLN                                 1            298    501.651 
2BM5                                 2            363     974.47 
2BMO                                 6           1893     1251.2 
2BNL                                 2            257    325.518 
2BNM                                 4            776     880.43 
2BO9                                 4           1048    1263.53 
2BOG                                 1            280    318.193 
2BON                                 1            287    363.361 
2BOP                                 2            170    266.752 
2BOU                                 1            137    641.796 
2BPT                                 2            889    1026.91 
2BRF                                 1            100    155.278 
2BRJ                                 3            522    495.978 
2BRY                                 1            479    545.299 
2BSJ                                 2            250    352.371 
2BT9                                 3            266    292.686 
2BTI                                 2            115    204.871 
2BU3                                 1            200    243.138 
2BUE                                 1            179    250.489 
2BUR                                24           5280    2870.09 
2BW3                                 4           1204    1362.56 
2BWF                                 1             77    133.198 
2BWQ                                 1            122    223.603 
2BWR                                 1            401    405.938 
2BYW                                 2            812    603.345 
2BZ1                                 2            346    418.485 
2BZV                                 3            435    527.011 
2C0G                                 1            228    464.033 
2C0H                                 1            353    361.574 
2C0N                                 2            382    544.468 
2C1V                                 2            670    755.732 
2C2I                                 2            298    360.112 
2C2Q                                 1            183    228.078 
2C2U                                12           2136    1364.27 
2C3V                                 1             92    156.238 
2C4X                                 1            250    610.413 
2C5A                                 2            723    761.491 
2C5L                                 2            263    384.919 
2C61                                 2            856    788.886 
2C6Q                                 4           1313    1226.06 
2C71                                 1            205    256.678 
2C78                                 1            397    494.711 
2C7P                                 1            327    398.095 
2C82                                 2            758     920.47 
2C8E                                 1            200    300.363 
2C8M                                 1            241    287.714 
2C92                                 5            734    655.305 
2C9W                                 3            336    552.513 
2CAR                                 2            390    572.979 
2CAY                                 4            526    627.721 
2CB2                                24           7344    3527.98 
2CB8                                 1             86    177.808 
2CBZ                                 1            230    330.374 
2CC6                                12            768    646.282 
2CCH                                 3            569    653.464 
2CCM                                 1            190    271.652 
2CCQ                                 1             99    159.603 
2CCV                                 6            594    1045.71 
2CDU                                 2            898    961.258 
2CE2                                 1            166    217.055 
2CFU                                 2           1254    977.267 
2CG7                                 1             90    297.213 
2CH5                                 2            686    823.036 
2CHC                                 3            489    472.581 
2CHH                                 4            452    442.884 
2CHO                                 2            654    823.666 
2CI1                                 1            273    295.869 
2CIB                                 1            419    494.237 
2CIO                                 2            217    255.148 
2CIU                                 1            123    249.149 
2CIW                                 1            299    343.485 
2CJ4                                 1            147    251.115 
2CJS                                 3            373    555.279 
2CJT                                 2            248    362.328 
2CKK                                 1            120    207.233 
2CKL                                 2            194    308.869 
2CKX                                 1             83    143.325 
2CM4                                 1            145    209.316 
2CMG                                 2            524    594.568 
2CMP                                 1             56    105.454 
2CN3                                 1            728    732.301 
2CNQ                                 1            300    361.265 
2CO3                                 2            269    393.033 
2COV                                 6            534    551.347 
2CPG                                 2             88    145.022 
2CS7                                 1             55    114.531 
2CU3                                 2            127     230.47 
2CUA                                 1            122    187.748 
2CVD                                 2            396    437.974 
2CVE                                 1            190    586.438 
2CW9                                 1            182    318.189 
2CWR                                 1             97    175.366 
2CWS                                 1            227    275.396 
2CWY                                 1             94    148.564 
2CWZ                                 2            275    363.255 
2CX1                                 1            184      277.9 
2CX7                                 1            129    184.009 
2CXA                                 1            229     303.88 
2CXH                                 1            180    237.276 
2CXI                                 3           1041    1285.18 
2CXK                                 2            172    264.624 
2CXN                                 2           1114    815.867 
2CXY                                 1            114    203.059 
2CY5                                 2            260    375.039 
2CYG                                 1            312    360.601 
2CYJ                                 1            118    172.142 
2CZL                                 1            270    318.061 
2CZS                                 1             70    157.826 
2CZV                                 4            651    822.322 
2D0O                                 4           1426    1275.56 
2D1L                                 2            480    1789.52 
2D1S                                 1            539    539.272 
2D28                                 1            144    243.299 
2D29                                 4           1544     1174.4 
2D3D                                 1             83    144.085 
2D48                                 1            129    214.865 
2D4P                                 1            130    216.909 
2D4X                                 1            214    447.592 
2D59                                 1            141    189.787 
2D5B                                 1            500    700.285 
2D5F                                 6           2307    1319.53 
2D5M                                 2            366    382.991 
2D5W                                 2            607    579.489 
2D68                                 2            152    209.447 
2D7C                                 2            209    327.674 
2D7V                                 2            309    399.634 
2D80                                 1            318    316.342 
2D8D                                 2            163     287.98 
2DB7                                 2            114    284.914 
2DBN                                 1            403    453.039 
